dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.671851,7.495912,0.000018,0.000712,0.014245,0.284901,0.001120
0.050000,0.671857,7.495912,0.000023,0.000110,-0.012038,-0.525654,0.001109
0.050000,0.671869,7.495912,0.000036,0.000248,0.002759,0.295942,0.001084
0.050000,0.671891,7.495912,0.000058,0.000442,0.003864,0.022085,0.001040
0.050000,0.671926,7.495912,0.000092,0.000690,0.004969,0.022100,0.000971
0.050000,0.671975,7.495912,0.000142,0.000994,0.006075,0.022123,0.000872
0.050000,0.672043,7.495912,0.000210,0.001353,0.007183,0.022158,0.000737
0.050000,0.672131,7.495912,0.000298,0.001768,0.008293,0.022207,0.000560
0.050000,0.672243,7.495912,0.000410,0.002238,0.009407,0.022272,0.000336
0.050000,0.672381,7.495912,0.000548,0.002764,0.010525,0.022356,0.000060
0.050000,0.674319,7.495912,0.002486,0.038761,0.719933,14.188164,6.282910
0.050000,0.677083,7.495910,0.005250,0.055275,0.330284,-7.792972,6.282511
0.050000,0.680326,7.495907,0.008492,0.064849,0.191491,-2.775870,6.282043
0.050000,0.684089,7.495902,0.012256,0.075266,0.208326,0.336712,6.281499
0.050000,0.688388,7.495893,0.016555,0.085984,0.214358,0.120628,6.280876
0.050000,0.693227,7.495881,0.021394,0.096784,0.216002,0.032889,6.280173
0.050000,0.698604,7.495862,0.026771,0.107537,0.215069,-0.018657,6.279391
0.050000,0.704519,7.495837,0.032686,0.118299,0.215236,0.003333,6.278529
0.050000,0.710973,7.495804,0.039140,0.129085,0.215723,0.009734,6.277586
0.050000,0.717967,7.495761,0.046134,0.139886,0.216020,0.005950,6.276561
0.050000,0.725501,7.495707,0.053668,0.150675,0.215773,-0.004937,6.275454
0.050000,0.733574,7.495640,0.061742,0.161472,0.215953,0.003596,6.274263
0.050000,0.742188,7.495558,0.070356,0.172277,0.216088,0.002705,6.272989
0.050000,0.751343,7.495458,0.079511,0.183118,0.216813,0.014486,6.271630
0.050000,0.761040,7.495339,0.089209,0.193945,0.216559,-0.005079,6.270185
0.050000,0.771277,7.495198,0.099447,0.204770,0.216494,-0.001293,6.268654
0.050000,0.782057,7.495033,0.110228,0.215621,0.217021,0.010540,6.267034
0.050000,0.793380,7.494840,0.121553,0.226500,0.217568,0.010949,6.265326
0.050000,0.805246,7.494618,0.133421,0.237356,0.217133,-0.008709,6.263527
0.050000,0.817656,7.494362,0.145834,0.248256,0.217997,0.017282,6.261636
0.050000,0.830611,7.494070,0.158792,0.259164,0.218162,0.003292,6.259652
0.050000,0.844110,7.493738,0.172296,0.270068,0.218076,-0.001713,6.257573
0.050000,0.858155,7.493363,0.186345,0.280997,0.218583,0.010144,6.255399
0.050000,0.872747,7.492941,0.200943,0.291949,0.219044,0.009223,6.253126
0.050000,0.887885,7.492468,0.216089,0.302922,0.219459,0.008297,6.250754
0.050000,0.903572,7.491939,0.231785,0.313914,0.219827,0.007365,6.248281
0.050000,0.919808,7.491352,0.248031,0.324921,0.220149,0.006431,6.245704
0.050000,0.936592,7.490700,0.264828,0.335942,0.220424,0.005494,6.243023
0.050000,0.953926,7.489979,0.282177,0.346975,0.220652,0.004557,6.240233
0.050000,0.971810,7.489184,0.300079,0.358039,0.221282,0.012605,6.237335
0.050000,0.990247,7.488311,0.318536,0.369149,0.222191,0.018194,6.234324
0.050000,1.009235,7.487352,0.337548,0.380237,0.221779,-0.008259,6.231200
0.050000,1.028776,7.486304,0.357118,0.391396,0.223173,0.027894,6.227959
0.050000,1.048872,7.485159,0.377246,0.402559,0.223250,0.001543,6.224598
0.050000,1.069521,7.483912,0.397933,0.413740,0.223622,0.007441,6.221115
0.050000,1.090726,7.482556,0.419181,0.424959,0.224390,0.015360,6.217508
0.050000,1.112487,7.481084,0.440991,0.436215,0.225109,0.014374,6.213772
0.050000,1.134805,7.479489,0.463366,0.447504,0.225778,0.013383,6.209905
0.050000,1.157681,7.477763,0.486308,0.458824,0.226398,0.012390,6.205904
0.050000,1.181116,7.475900,0.509816,0.470172,0.226968,0.011397,6.201765
0.050000,1.205109,7.473891,0.533894,0.481546,0.227488,0.010406,6.197485
0.050000,1.229662,7.471727,0.558542,0.492961,0.228286,0.015971,6.193060
0.050000,1.254777,7.469399,0.583764,0.504445,0.229692,0.028109,6.188485
0.050000,1.280451,7.466899,0.609560,0.515920,0.229502,-0.003800,6.183759
0.050000,1.306688,7.464217,0.635934,0.527478,0.231162,0.033204,6.178875
0.050000,1.333488,7.461343,0.662887,0.539067,0.231761,0.011978,6.173829
0.050000,1.360850,7.458267,0.690422,0.550689,0.232459,0.013953,6.168618
0.050000,1.388775,7.454978,0.718540,0.562367,0.233555,0.021925,6.163236
0.050000,1.417264,7.451464,0.747245,0.574097,0.234596,0.020829,6.157678
0.050000,1.446317,7.447714,0.776539,0.585876,0.235583,0.019734,6.151940
0.050000,1.475933,7.443715,0.806424,0.597702,0.236515,0.018643,6.146015
0.050000,1.506113,7.439455,0.836903,0.609577,0.237505,0.019792,6.139900
0.050000,1.536858,7.434921,0.867980,0.621552,0.239499,0.039891,6.133587
0.050000,1.568165,7.430098,0.899656,0.633517,0.239298,-0.004028,6.127071
0.050000,1.600036,7.424972,0.931937,0.645619,0.242031,0.054669,6.120345
0.050000,1.632469,7.419528,0.964823,0.657727,0.242173,0.002842,6.113405
0.050000,1.665462,7.413750,0.998319,0.669915,0.243753,0.031585,6.106242
0.050000,1.699016,7.407623,1.032428,0.682178,0.245264,0.030230,6.098850
0.050000,1.733129,7.401128,1.067154,0.694514,0.246708,0.028868,6.091223
0.050000,1.767799,7.394248,1.102500,0.706918,0.248083,0.027505,6.083352
0.050000,1.803024,7.386965,1.138469,0.719387,0.249390,0.026147,6.075230
0.050000,1.838800,7.379260,1.175066,0.731936,0.250986,0.031924,6.066851
0.050000,1.875127,7.371112,1.212295,0.744585,0.252971,0.039690,6.058205
0.050000,1.911999,7.362501,1.250159,0.757286,0.254027,0.021130,6.049285
0.050000,1.949413,7.353405,1.288663,0.770072,0.255706,0.033578,6.040083
0.050000,1.987365,7.343801,1.327811,0.782965,0.257867,0.043212,6.030591
0.050000,2.025849,7.333668,1.367607,0.795927,0.259236,0.027386,6.020798
0.050000,2.064860,7.322979,1.408056,0.808977,0.260996,0.035186,6.010698
0.050000,2.104392,7.311711,1.449163,0.822129,0.263038,0.040853,6.000281
0.050000,2.144436,7.299837,1.490930,0.835345,0.264338,0.026000,5.989538
0.050000,2.184984,7.287330,1.533363,0.848658,0.266245,0.038141,5.978461
0.050000,2.226027,7.274164,1.576466,0.862066,0.268162,0.038340,5.967041
0.050000,2.267555,7.260309,1.620245,0.875567,0.270015,0.037054,5.955268
0.050000,2.309556,7.245736,1.664702,0.889141,0.271494,0.029571,5.943134
0.050000,2.352017,7.230415,1.709842,0.902806,0.273289,0.035917,5.930631
0.050000,2.394923,7.214315,1.755669,0.916551,0.274899,0.032184,5.917750
0.050000,2.438259,7.197404,1.802188,0.930374,0.276458,0.031191,5.904484
0.050000,2.482008,7.179650,1.849403,0.944293,0.278395,0.038732,5.890824
0.050000,2.526150,7.161020,1.897315,0.958247,0.279066,0.013421,5.876765
0.050000,2.570665,7.141479,1.945930,0.972289,0.280847,0.035623,5.862299
0.050000,2.615529,7.120996,1.995249,0.986382,0.281862,0.020309,5.847421
0.050000,2.660717,7.099534,2.045274,1.000514,0.282644,0.015629,5.832126
0.050000,2.706202,7.077061,2.096008,1.014682,0.283357,0.014262,5.816412
0.050000,2.751956,7.053541,2.147453,1.028893,0.284223,0.017314,5.800275
0.050000,2.797945,7.028942,2.199608,1.043095,0.284026,-0.003938,5.783713
0.050000,2.844135,7.003229,2.252473,1.057303,0.284171,0.002913,5.766729
0.050000,2.890490,6.976370,2.306047,1.071484,0.283613,-0.011165,5.749322
0.050000,2.936971,6.948334,2.360329,1.085636,0.283045,-0.011369,5.731498
0.050000,2.983536,6.919089,2.415316,1.099735,0.281973,-0.021440,5.713262
0.050000,3.030140,6.888606,2.471003,1.113755,0.280399,-0.031480,5.694620
0.050000,3.076719,6.856872,2.527366,1.127242,0.269753,-0.212909,5.675591
0.050000,3.123190,6.823887,2.584353,1.139744,0.250032,-0.394423,5.656202
0.050000,3.169469,6.789657,2.641915,1.151253,0.230178,-0.397086,5.636481
0.050000,3.215473,6.754195,2.700001,1.161709,0.209135,-0.420865,5.616463
0.050000,3.261120,6.717519,2.758556,1.171108,0.187981,-0.423075,5.596180
0.050000,3.306328,6.679653,2.817528,1.179427,0.166361,-0.432392,5.575672
0.050000,3.351018,6.640626,2.876860,1.186640,0.144272,-0.441783,5.554976
0.050000,3.395113,6.600474,2.936496,1.192730,0.121801,-0.449430,5.534134
0.050000,3.438539,6.559239,2.996380,1.197687,0.099137,-0.453266,5.513189
0.050000,3.481226,6.516968,3.056456,1.201501,0.076274,-0.457267,5.492182
0.050000,3.523108,6.473714,3.116664,1.204165,0.053292,-0.459634,5.471158
0.050000,3.564123,6.429534,3.176948,1.205682,0.030329,-0.459268,5.450161
0.050000,3.604215,6.384489,3.237251,1.206054,0.007454,-0.457489,5.429233
0.050000,3.643325,6.338658,3.297500,1.204989,-0.021311,-0.575303,5.408422
0.050000,3.681397,6.292123,3.357625,1.202498,-0.049819,-0.570163,5.387775
0.050000,3.718393,6.244957,3.417570,1.198902,-0.071911,-0.441834,5.367330
0.050000,3.754283,6.197235,3.477281,1.194225,-0.093549,-0.432758,5.347124
0.050000,3.789041,6.149036,3.536706,1.188488,-0.114747,-0.423973,5.327194
0.050000,3.822645,6.100437,3.595791,1.181716,-0.135437,-0.413796,5.307569
0.050000,3.855083,6.051517,3.654488,1.173937,-0.155577,-0.402808,5.288281
0.050000,3.886345,6.002356,3.712747,1.165180,-0.175136,-0.391163,5.269355
0.050000,3.916428,5.953033,3.770521,1.155468,-0.194237,-0.382034,5.250816
0.050000,3.945333,5.903625,3.827763,1.144836,-0.212638,-0.368013,5.232685
0.050000,3.973067,5.854210,3.884429,1.133323,-0.230275,-0.352744,5.214979
0.050000,3.999638,5.804863,3.940475,1.120922,-0.248020,-0.354892,5.197714
0.050000,4.025061,5.755657,3.995860,1.107702,-0.264397,-0.327541,5.180902
0.050000,4.049353,5.706666,4.050543,1.093663,-0.280776,-0.327591,5.164555
0.050000,4.072540,5.657946,4.104499,1.079124,-0.290777,-0.200015,5.148674
0.050000,4.094659,5.609533,4.157725,1.064523,-0.292025,-0.024954,5.133256
0.050000,4.115747,5.561455,4.210225,1.049998,-0.290494,0.030620,5.118293
0.050000,4.135845,5.513737,4.262003,1.035563,-0.288713,0.035614,5.103778
