dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.672411,6.995912,0.000018,0.000712,0.014245,0.284901,0.001120
0.050000,0.672411,6.995912,0.000089,0.002137,0.028490,0.284901,0.001109
0.050000,0.672411,6.995912,0.000249,0.004274,0.042735,0.284901,0.001084
0.050000,0.672411,6.995912,0.000534,0.007123,0.056980,0.284901,0.001040
0.050000,0.672411,6.995912,0.000979,0.010684,0.071225,0.284901,0.000971
0.050000,0.672411,6.995912,0.001620,0.014957,0.085470,0.284901,0.000872
0.050000,0.672411,6.995912,0.002493,0.019943,0.099715,0.284901,0.000737
0.050000,0.672411,6.995912,0.003632,0.025641,0.113961,0.284901,0.000560
0.050000,0.672411,6.995912,0.005075,0.032051,0.128206,0.284901,0.000336
0.050000,0.672411,6.995912,0.006855,0.039174,0.142451,0.284901,0.000060
0.050000,0.674182,6.995912,0.009010,0.047009,0.156696,0.284901,6.282910
0.050000,0.676746,6.995910,0.011574,0.055556,0.170941,0.284901,6.282511
0.050000,0.679755,6.995908,0.014583,0.064815,0.185186,0.284901,6.282043
0.050000,0.683246,6.995903,0.018073,0.074787,0.199431,0.284901,6.281499
0.050000,0.687233,6.995895,0.022062,0.084758,0.199431,0.000000,6.280876
0.050000,0.691721,6.995883,0.026549,0.094730,0.199431,-0.000000,6.280173
0.050000,0.696707,6.995866,0.031535,0.104701,0.199431,0.000000,6.279391
0.050000,0.702191,6.995843,0.037019,0.114673,0.199431,0.000000,6.278529
0.050000,0.708173,6.995812,0.043002,0.124644,0.199431,-0.000000,6.277586
0.050000,0.714655,6.995772,0.049484,0.134616,0.199431,0.000000,6.276561
0.050000,0.721635,6.995722,0.056464,0.144587,0.199431,-0.000000,6.275454
0.050000,0.729113,6.995660,0.063943,0.154559,0.199431,0.000000,6.274263
0.050000,0.737090,6.995584,0.071920,0.164531,0.199431,0.000000,6.272989
0.050000,0.745566,6.995492,0.080396,0.174502,0.199431,-0.000000,6.271630
0.050000,0.754540,6.995381,0.089370,0.184474,0.199431,0.000000,6.270185
0.050000,0.764012,6.995251,0.098843,0.194445,0.199431,0.000000,6.268654
0.050000,0.773982,6.995098,0.108815,0.204417,0.199431,-0.000000,6.267034
0.050000,0.784451,6.994920,0.119285,0.214388,0.199431,0.000000,6.265326
0.050000,0.795417,6.994714,0.130253,0.224360,0.199431,-0.000000,6.263527
0.050000,0.806882,6.994478,0.141721,0.234331,0.199431,0.000000,6.261636
0.050000,0.818845,6.994208,0.153686,0.244303,0.199431,0.000000,6.259652
0.050000,0.831306,6.993902,0.166151,0.254274,0.199431,0.000000,6.257573
0.050000,0.844264,6.993556,0.179114,0.264246,0.199431,-0.000000,6.255399
0.050000,0.857719,6.993167,0.192576,0.274218,0.199431,0.000000,6.253126
0.050000,0.871673,6.992731,0.206536,0.284189,0.199431,0.000000,6.250754
0.050000,0.886123,6.992244,0.220994,0.294161,0.199431,0.000000,6.248281
0.050000,0.901071,6.991703,0.235952,0.304132,0.199431,0.000000,6.245704
0.050000,0.916516,6.991103,0.251408,0.314104,0.199431,0.000000,6.243023
0.050000,0.932456,6.990440,0.267362,0.324075,0.199431,0.000000,6.240233
0.050000,0.948893,6.989710,0.283815,0.334047,0.199431,-0.000000,6.237335
0.050000,0.965826,6.988907,0.300767,0.344018,0.199431,-0.000000,6.234324
0.050000,0.983254,6.988028,0.318217,0.353990,0.199431,0.000000,6.231200
0.050000,1.001177,6.987066,0.336166,0.363962,0.199431,-0.000000,6.227959
0.050000,1.019595,6.986017,0.354613,0.373933,0.199431,0.000000,6.224598
0.050000,1.038506,6.984875,0.373559,0.383905,0.199431,0.000000,6.221115
0.050000,1.057910,6.983634,0.393004,0.393876,0.199431,-0.000000,6.217508
0.050000,1.077808,6.982288,0.412947,0.403848,0.199431,0.000000,6.213772
0.050000,1.098198,6.980831,0.433388,0.413819,0.199431,-0.000000,6.209905
0.050000,1.119079,6.979256,0.454329,0.423791,0.199431,0.000000,6.205904
0.050000,1.140450,6.977556,0.475768,0.433762,0.199431,-0.000000,6.201765
0.050000,1.162311,6.975726,0.497705,0.443734,0.199431,0.000000,6.197485
0.050000,1.184660,6.973756,0.520141,0.453705,0.199431,0.000000,6.193060
0.050000,1.207497,6.971639,0.543075,0.463677,0.199431,-0.000000,6.188485
0.050000,1.230820,6.969369,0.566509,0.473649,0.199431,-0.000000,6.183759
0.050000,1.254627,6.966935,0.590440,0.483620,0.199431,0.000000,6.178875
0.050000,1.278919,6.964330,0.614871,0.493592,0.199431,-0.000000,6.173829
0.050000,1.303691,6.961545,0.639799,0.503563,0.199431,0.000000,6.168618
0.050000,1.328944,6.958570,0.665227,0.513535,0.199431,-0.000000,6.163236
0.050000,1.354675,6.955397,0.691153,0.523506,0.199431,0.000000,6.157678
0.050000,1.380882,6.952014,0.717578,0.533478,0.199431,0.000000,6.151940
0.050000,1.407563,6.948412,0.744501,0.543449,0.199431,0.000000,6.146015
0.050000,1.434715,6.944579,0.771923,0.553421,0.199431,0.000000,6.139900
0.050000,1.462338,6.940505,0.799843,0.563393,0.199431,-0.000000,6.133587
0.050000,1.490424,6.936178,0.828262,0.573364,0.199431,0.000000,6.127071
0.050000,1.518976,6.931586,0.857179,0.583336,0.199431,-0.000000,6.120345
0.050000,1.547986,6.926717,0.886595,0.593307,0.199431,0.000000,6.113405
0.050000,1.577452,6.921557,0.916510,0.603279,0.199431,0.000000,6.106242
0.050000,1.607370,6.916093,0.946923,0.613250,0.199431,0.000000,6.098850
0.050000,1.637736,6.910312,0.977835,0.623222,0.199431,0.000000,6.091223
0.050000,1.668546,6.904198,1.009245,0.633193,0.199431,0.000000,6.083352
0.050000,1.699794,6.897738,1.041154,0.643165,0.199431,-0.000000,6.075230
0.050000,1.731475,6.890914,1.073562,0.653136,0.199431,0.000000,6.066851
0.050000,1.763583,6.883713,1.106468,0.663108,0.199431,0.000000,6.058205
0.050000,1.796112,6.876116,1.139873,0.673080,0.199431,0.000000,6.049285
0.050000,1.829055,6.868107,1.173776,0.683051,0.199431,0.000000,6.040083
0.050000,1.862406,6.859668,1.208178,0.693023,0.199431,-0.000000,6.030591
0.050000,1.896156,6.850781,1.243078,0.702994,0.199431,0.000000,6.020798
0.050000,1.930296,6.841427,1.278477,0.712966,0.199431,-0.000000,6.010698
0.050000,1.964819,6.831586,1.314375,0.722937,0.199431,0.000000,6.000281
0.050000,1.999713,6.821239,1.350771,0.732909,0.199431,0.000000,5.989538
0.050000,2.034969,6.810366,1.387666,0.742880,0.199431,0.000000,5.978461
0.050000,2.070575,6.798944,1.425059,0.752852,0.199431,0.000000,5.967041
0.050000,2.106519,6.786952,1.462951,0.762823,0.199431,0.000000,5.955268
0.050000,2.142788,6.774368,1.501341,0.772795,0.199431,0.000000,5.943134
0.050000,2.179369,6.761169,1.540230,0.782767,0.199431,-0.000000,5.930631
0.050000,2.216245,6.747331,1.579618,0.792738,0.199431,0.000000,5.917750
0.050000,2.253402,6.732832,1.619504,0.802710,0.199431,0.000000,5.904484
0.050000,2.290823,6.717646,1.659889,0.812681,0.199431,-0.000000,5.890824
0.050000,2.328488,6.701749,1.700772,0.822653,0.199431,0.000000,5.876765
0.050000,2.366380,6.685116,1.742154,0.832624,0.199431,0.000000,5.862299
0.050000,2.404477,6.667722,1.784035,0.842596,0.199431,-0.000000,5.847421
0.050000,2.442758,6.649541,1.826414,0.852567,0.199431,0.000000,5.832126
0.050000,2.481199,6.630548,1.869291,0.862539,0.199431,0.000000,5.816412
0.050000,2.519776,6.610718,1.912668,0.872511,0.199431,0.000000,5.800275
0.050000,2.558464,6.590024,1.956543,0.882482,0.199431,0.000000,5.783713
0.050000,2.597234,6.568442,2.000916,0.892454,0.199431,0.000000,5.766729
0.050000,2.636059,6.545946,2.045788,0.902425,0.199431,0.000000,5.749322
0.050000,2.674909,6.522513,2.091158,0.912397,0.199431,-0.000000,5.731498
0.050000,2.713752,6.498118,2.137028,0.922368,0.199431,0.000000,5.713262
0.050000,2.752556,6.472737,2.183395,0.932340,0.199431,0.000000,5.694620
0.050000,2.791272,6.446360,2.230244,0.941599,0.185186,-0.284901,5.675591
0.050000,2.829838,6.418986,2.277537,0.950146,0.170941,-0.284901,5.656202
0.050000,2.868190,6.390620,2.325241,0.957981,0.156696,-0.284901,5.636481
0.050000,2.906267,6.361269,2.373318,0.965103,0.142451,-0.284901,5.616463
0.050000,2.944008,6.330945,2.421733,0.971514,0.128206,-0.284901,5.596180
0.050000,2.981355,6.299663,2.470451,0.977212,0.113961,-0.284901,5.575672
0.050000,3.018251,6.267442,2.519436,0.982198,0.099715,-0.284901,5.554976
0.050000,3.054641,6.234307,2.568653,0.986471,0.085470,-0.284901,5.534134
0.050000,3.090472,6.200283,2.618066,0.990032,0.071225,-0.284901,5.513189
0.050000,3.125696,6.165402,2.667639,0.992881,0.056980,-0.284901,5.492182
0.050000,3.160266,6.129700,2.717336,0.995018,0.042735,-0.284901,5.471158
0.050000,3.194138,6.093213,2.767123,0.996443,0.028490,-0.284901,5.450161
0.050000,3.227274,6.055985,2.816963,0.997155,0.014245,-0.284901,5.429233
0.050000,3.259629,6.018069,2.866808,0.996653,-0.010037,-0.485643,5.408422
0.050000,3.291164,5.979524,2.916610,0.995439,-0.024282,-0.284901,5.387775
0.050000,3.321851,5.940401,2.966334,0.993513,-0.038527,-0.284901,5.367330
0.050000,3.351669,5.900753,3.015943,0.990874,-0.052772,-0.284901,5.347124
0.050000,3.380597,5.860636,3.065403,0.987523,-0.067017,-0.284901,5.327194
0.050000,3.408621,5.820108,3.114678,0.983460,-0.081262,-0.284901,5.307569
0.050000,3.435729,5.779226,3.163732,0.978685,-0.095508,-0.284901,5.288281
0.050000,3.461914,5.738050,3.212529,0.973197,-0.109753,-0.284901,5.269355
0.050000,3.487170,5.696640,3.261033,0.966997,-0.123998,-0.284901,5.250816
0.050000,3.511497,5.655057,3.309211,0.960085,-0.138243,-0.284901,5.232685
0.050000,3.534898,5.613361,3.357024,0.952461,-0.152488,-0.284901,5.214979
0.050000,3.557376,5.571615,3.404439,0.944124,-0.166733,-0.284901,5.197714
0.050000,3.578941,5.529877,3.451419,0.935075,-0.180978,-0.284901,5.180902
0.050000,3.599601,5.488209,3.497928,0.925314,-0.195223,-0.284901,5.164555
