dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.672971,6.495912,0.000018,0.000712,0.014245,0.284901,0.001120
0.050000,0.672966,6.495912,0.000023,0.000110,-0.012038,-0.525654,0.001109
0.050000,0.672954,6.495912,0.000036,0.000248,0.002759,0.295942,0.001084
0.050000,0.672931,6.495912,0.000058,0.000442,0.003864,0.022085,0.001040
0.050000,0.672897,6.495912,0.000092,0.000690,0.004969,0.022100,0.000971
0.050000,0.672847,6.495912,0.000142,0.000994,0.006075,0.022123,0.000872
0.050000,0.672780,6.495912,0.000210,0.001353,0.007183,0.022158,0.000737
0.050000,0.672691,6.495912,0.000298,0.001768,0.008293,0.022207,0.000560
0.050000,0.672579,6.495912,0.000410,0.002238,0.009407,0.022272,0.000336
0.050000,0.672441,6.495912,0.000548,0.002764,0.010525,0.022356,0.000060
0.050000,0.674044,6.495912,0.002151,0.032064,0.586007,11.509644,6.282910
0.050000,0.676409,6.495910,0.004516,0.047299,0.304700,-5.626141,6.282511
0.050000,0.679183,6.495908,0.007290,0.055481,0.163637,-2.821252,6.282043
0.050000,0.682402,6.495903,0.010509,0.064378,0.177928,0.285818,6.281499
0.050000,0.686079,6.495896,0.014186,0.073525,0.182949,0.100416,6.280876
0.050000,0.690215,6.495885,0.018322,0.082735,0.184194,0.024904,6.280173
0.050000,0.694810,6.495869,0.022917,0.091896,0.183215,-0.019590,6.279391
0.050000,0.699863,6.495848,0.027970,0.101053,0.183154,-0.001207,6.278529
0.050000,0.705374,6.495820,0.033481,0.110221,0.183346,0.003828,6.277586
0.050000,0.711343,6.495783,0.039450,0.119388,0.183353,0.000152,6.276561
0.050000,0.717769,6.495737,0.045877,0.128532,0.182874,-0.009583,6.275454
0.050000,0.724653,6.495680,0.052760,0.137669,0.182737,-0.002748,6.274263
0.050000,0.731992,6.495610,0.060100,0.146796,0.182538,-0.003967,6.272989
0.050000,0.739788,6.495525,0.067897,0.155937,0.182818,0.005594,6.271630
0.050000,0.748040,6.495424,0.076149,0.165049,0.182240,-0.011554,6.270185
0.050000,0.756746,6.495304,0.084856,0.174139,0.181800,-0.008807,6.268654
